Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,PER,FGA,MP
1,Stephen Curry,2015-16,27,GSW,NBA,73,73,34.1,10.1,20.1,5.1,9.0,5.1,11.1,4.7,5.2,0.9,4.5,5.4,6.5,2.2,0.2,3.3,2.0,30.0,.504,.565,.456,.630,.902,.671,31.4,1465,2487
2,Charles Barkley*,1987-88,24,PHI,NBA,80,80,39.6,9.4,16.0,8.9,14.1,0.6,2.0,8.9,11.9,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3,.587,.630,.280,.604,.751,.665,27.6,1283,3170
3,Charles Barkley*,1989-90,26,PHI,NBA,79,79,39.1,8.9,14.9,8.7,13.7,0.3,1.2,7.1,9.4,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2,.600,.632,.217,.608,.749,.661,27.1,1177,3085
4,Charles Barkley*,1986-87,23,PHI,NBA,68,62,40.3,8.2,13.8,7.9,12.3,0.3,1.5,6.3,8.3,5.7,8.9,14.6,4.9,1.8,1.5,4.7,3.7,23.0,.594,.643,.202,.606,.761,.660,25.1,937,2740
5,Amar'e Stoudemire,2007-08,25,PHO,NBA,79,79,33.9,9.0,15.3,9.0,14.9,0.1,0.4,7.0,8.7,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,.590,.601,.161,.592,.805,.656,27.6,1211,2677
6,Kevin McHale*,1986-87,29,BOS,NBA,77,77,39.7,10.3,17.0,10.3,16.9,0.0,0.1,5.6,6.6,3.2,6.7,9.9,2.6,0.5,2.2,2.6,3.1,26.1,.604,.606,.000,.604,.836,.655,24.0,1307,3060
7,Steve Nash,2006-07,32,PHO,NBA,76,76,35.3,6.8,12.8,4.8,8.3,2.1,4.5,2.9,3.3,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,.532,.575,.455,.613,.899,.654,23.8,971,2682
8,Charles Barkley*,1988-89,25,PHI,NBA,79,79,39.1,8.9,15.3,8.4,13.2,0.4,2.1,7.6,10.1,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,.579,.636,.216,.594,.753,.653,27.0,1208,3088
9,Adrian Dantley*,1983-84,27,UTA,NBA,79,79,37.8,10.2,18.2,10.1,18.2,0.0,0.1,10.3,12.0,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6,.558,.559,.250,.558,.859,.652,24.6,1438,2984
10,John Stockton*,1994-95,32,UTA,NBA,82,82,35.0,5.2,9.6,4.0,6.9,1.2,2.8,3.0,3.7,0.7,2.4,3.1,12.3,2.4,0.3,3.3,2.6,14.7,.542,.580,.449,.607,.804,.651,23.3,791,2867
11,LeBron James,2013-14,29,MIA,NBA,77,77,37.7,10.0,17.6,8.5,13.6,1.5,4.0,5.7,7.6,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,.567,.622,.379,.610,.750,.649,29.3,1353,2902
12,Kevin Durant,2012-13,24,OKC,NBA,81,81,38.5,9.0,17.7,7.3,13.6,1.7,4.1,8.4,9.3,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,.510,.539,.416,.559,.905,.647,28.3,1433,3119
13,John Stockton*,1987-88,25,UTA,NBA,82,79,34.7,5.5,9.6,5.2,8.8,0.3,0.8,3.3,4.0,0.7,2.2,2.9,13.8,3.0,0.2,3.2,3.0,14.7,.574,.594,.358,.589,.840,.645,23.2,791,2842
14,LeBron James,2012-13,28,MIA,NBA,76,76,37.9,10.1,17.8,8.7,14.5,1.4,3.3,5.3,7.0,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,.565,.602,.406,.603,.753,.640,31.6,1354,2877
15,Kareem Abdul-Jabbar*,1979-80,32,LAL,NBA,82,,38.3,10.2,16.9,10.2,16.9,0.0,0.0,4.4,5.8,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,.604,.604,.000,.604,.765,.639,25.3,1383,3143
16,Stephen Curry,2014-15,26,GSW,NBA,80,80,32.7,8.2,16.8,4.6,8.7,3.6,8.1,3.9,4.2,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,.487,.528,.443,.594,.914,.638,28.0,1341,2613
17,Magic Johnson*,1984-85,25,LAL,NBA,77,77,36.1,6.5,11.7,6.5,11.2,0.1,0.5,5.1,6.0,1.2,5.0,6.2,12.6,1.5,0.3,4.0,2.0,18.3,.561,.577,.189,.565,.843,.637,23.2,899,2781
18,Amar'e Stoudemire,2006-07,24,PHO,NBA,82,78,32.8,7.4,12.9,7.4,12.8,0.0,0.0,5.6,7.1,2.7,6.9,9.6,1.0,1.0,1.3,2.8,3.6,20.4,.575,.577,.000,.575,.781,.637,23.1,1055,2689
